🌩注意事项,#genre#
资源来源于网络,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
不要相信视频中的广告,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487
不要扫视频中的二维码,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=7e9bddad7c8911626ed1d2c09fc605d9&txTime=18d00acf487
看不了也不要去打赏,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=4400d75d2114b2db07d86eda8f8218ee&txTime=191b60ce0f6
按左右键可以换源,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
🌷广东频道,#genre#
广东珠江,http://fuhome.vicp.fun:4060/udp/239.77.0.1:5146
广东珠江2,http://qyl805.gicp.net:4023/udp/239.77.0.1:5146
广东珠江(标清),https://www.insurancegogogo.com/4987/zhujiang/playlist.m3u8
大湾区卫视,http://ali.hlspull.yximgs.com/live/b027460e580a463cb7e44eebexcvhnddggdfsdg.flv
广东珠江http://tv.cdn.com.mp/live/gdzj/stream.m3u8
广东体育http://tv.cdn.com.mp/live/gdty/stream.m3u8
广东体育,http://fuhome.vicp.fun:4060/udp/239.77.0.112:5146
广东新闻,http://fuhome.vicp.fun:4060/udp/239.77.0.173:5146
广东民生,http://fuhome.vicp.fun:4060/udp/239.77.0.225:5146
大湾区卫视,http://fuhome.vicp.fun:4060/udp/239.77.0.215:5146
广东影视,http://fuhome.vicp.fun:4060/udp/239.77.0.217:5146
广东少儿,http://fuhome.vicp.fun:4060/udp/239.77.0.250:5146
嘉佳卡通,http://fuhome.vicp.fun:4060/udp/239.77.0.179:5146
广东体育,http://qyl805.gicp.net:4023/udp/239.77.0.112:5146
广东新闻,http://qyl805.gicp.net:4023/udp/239.77.0.173:5146
广东民生,http://qyl805.gicp.net:4023/udp/239.77.0.225:5146
大湾区卫视,http://qyl805.gicp.net:4023/udp/239.77.0.215:5146
广东影视,http://qyl805.gicp.net:4023/udp/239.77.0.217:5146
广东少儿,http://qyl805.gicp.net:4023/udp/239.77.0.250:5146
嘉佳卡通,http://qyl805.gicp.net:4023/udp/239.77.0.179:5146
广东珠江tbs,video://https://m2.iptv807.com/?act=play&token=429c8f1e17cc2de162b47a19665df798&tid=itv&id=5
广东珠江tbs,video://https://m2.iptv807.com/?act=play&token=a3f9acaf49aa06dc74c13e297f3ad193&tid=itv&id=84
广东体育tbs,video://https://m2.iptv807.com/?act=play&token=8676d8c6ae661f2b6c5dcc6b19500ebc&tid=itv&id=4
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=7e9bddad7c8911626ed1d2c09fc605d9&txTime=18d00acf487
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=4400d75d2114b2db07d86eda8f8218ee&txTime=191b60ce0f6
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
