🏆广东珠江,#genre#
广东珠江1,http://113.90.246.163:6921/udp/239.77.0.1:5146
广东珠江2,http://113.77.100.90:6065/udp/239.77.0.1:5146
广东珠江3,http://113.101.244.107:8128/udp/239.77.0.1:5146
广东珠江4,http://59.34.211.200:4800/udp/239.77.0.1:5146
广东珠江5,http://113.90.244.217:4000/udp/239.77.0.1:5146
广东珠江6,http://113.65.4.23:7188/udp/239.77.0.1:5146
广东珠江7,http://113.101.117.36:7663/udp/239.77.0.1:5146
广东珠江8,http://14.149.140.232:16888/udp/239.77.0.1:5146
广东珠江9,http://113.65.9.92:4014/udp/239.77.0.1:5146
广东珠江10,http://183.48.240.167:5050/udp/239.77.0.1:5146
广东珠江11,http://119.135.192.163:10000/udp/239.77.0.1:5146
广东珠江12,http://14.20.80.100:4023/udp/239.77.0.1:5146
广东珠江13,http://183.30.201.253:10002/udp/239.77.0.1:5146

💐酒店源,#genre#
广东珠江,http://183.10.180.123:212/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信3
广东珠江,http://183.57.249.143:8183/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信2
大湾区卫视,http://183.57.249.143:8183/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信1
大湾区卫视,http://219.135.176.78:85/tsfile/live/642/2027_1.m3u8?key=txiptv$广东广州电信2
翡翠台,http://111.221.137.152:44330/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0$广东深圳天威1
翡翠台,http://116.77.35.88:44330/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0$广东深圳天威2
广东体育,http://183.57.249.143:8183/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$广东东莞电信1
广东体育,http://113.90.247.47:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信2
广东新闻,http://113.90.247.47:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$广东深圳电信1
广东新闻,http://183.10.180.123:212/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&down=1$广东潮州电信2
