央视IPTV,#genre#
CCTV1-FHD,http://111.48.34.237/PLTV/88888888/224/3221230440/1.m3u8
CCTV1-FHD,http://111.48.34.237/PLTV/88888888/224/3221230054/1.m3u8
CCTV1-HD,http://111.48.34.237/PLTV/88888888/224/3221229665/1.m3u8
CCTV1-HD,http://111.48.34.237/PLTV/88888888/224/3221229660/1.m3u8
CCTV2-FHD,http://111.48.34.237/PLTV/88888888/224/3221229893/1.m3u8
CCTV2-FHD,http://111.48.34.237/PLTV/88888888/224/3221230359/1.m3u8
CCTV3-FHD,http://111.48.34.237/PLTV/88888888/224/3221230150/1.m3u8
CCTV3-FHD,http://111.48.34.237/PLTV/88888888/224/3221230394/1.m3u8
CCTV4-FHD,http://111.48.34.237/PLTV/88888888/224/3221229862/1.m3u8
CCTV4-FHD,http://111.48.34.237/PLTV/88888888/224/3221230489/1.m3u8
CCTV5-FHD,http://111.48.34.237/PLTV/88888888/224/3221230165/1.m3u8
CCTV5-FHD,http://111.48.34.237/PLTV/88888888/224/3221230400/1.m3u8
CCTV5+-FHD,http://111.48.34.237/PLTV/88888888/224/3221230455/1.m3u8
CCTV6-FHD,http://111.48.34.237/PLTV/88888888/224/3221230451/1.m3u8
CCTV6-FHD,http://111.48.34.237/PLTV/88888888/224/3221230154/1.m3u8
CCTV7-FHD,http://111.48.34.237/PLTV/88888888/224/3221229895/1.m3u8
CCTV7-FHD,http://111.48.34.237/PLTV/88888888/224/3221230442/1.m3u8
CCTV8-FHD,http://111.48.34.237/PLTV/88888888/224/3221230445/1.m3u8
CCTV8-FHD,http://111.48.34.237/PLTV/88888888/224/3221230169/1.m3u8
CCTV9-FHD,http://111.48.34.237/PLTV/88888888/224/3221230330/1.m3u8
CCTV9-FHD,http://111.48.34.237/PLTV/88888888/224/3221229864/1.m3u8
CCTV10-FHD,http://111.48.34.237/PLTV/88888888/224/3221229874/1.m3u8
CCTV10-FHD,http://111.48.34.237/PLTV/88888888/224/3221230491/1.m3u8
CCTV11-FHD,http://111.48.34.237/PLTV/88888888/224/3221229869/1.m3u8
CCTV11-FHD,http://111.48.34.237/PLTV/88888888/224/3221230444/1.m3u8
CCTV12-FHD,http://111.48.34.237/PLTV/88888888/224/3221229897/1.m3u8
CCTV12-FHD,http://111.48.34.237/PLTV/88888888/224/3221230363/1.m3u8
CCTV13-FHD,http://111.48.34.237/PLTV/88888888/224/3221230493/1.m3u8
CCTV14-FHD,http://111.48.34.237/PLTV/88888888/224/3221230446/1.m3u8
CCTV14-FHD,http://111.48.34.237/PLTV/88888888/224/3221229868/1.m3u8
CCTV15-FHD,http://111.48.34.237/PLTV/88888888/224/3221229861/1.m3u8
CCTV15-HD,>http://111.48.34.237/PLTV/88888888/224/3221230495/1.m3u8
CCTV17-FHD,http://111.48.34.237/PLTV/88888888/224/3221229831/1.m3u8
CCTV17-FHD,http://111.48.34.237/PLTV/88888888/224/3221230447/1.m3u8
CHC动作电影-FHD,http://111.48.34.237/PLTV/88888888/224/3221230434/1.m3u8
CHC家庭影院-FHD,http://111.48.34.237/PLTV/88888888/224/3221230481/1.m3u8
CHC高清电影-FHD,http://111.48.34.237/PLTV/88888888/224/3221230483/1.m3u8
CGTN纪录片-FHD,http://111.48.34.237/PLTV/88888888/224/3221230527/1.m3u8
CGTN-FHD,http://111.48.34.237/PLTV/88888888/224/3221229681/1.m3u8
CGTN-FHD,http://111.48.34.237/PLTV/88888888/224/3221230529/1.m3u8
CGTN-FHD,http://111.48.34.237/PLTV/88888888/224/3221230531/1.m3u8
