少儿频道,#genre#
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,video://https://www.cztv.com/liveTV/108
山东少儿,video://http://v.iqilu.com/live/sepd/
河北少儿,video://https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=5
成都少儿,video://https://www.cditv.cn/show/4845-558.html
深圳少儿,video://https://www.sztv.com.cn/pindao/index.html?id=7881
南京少年儿童,https://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
优漫卡通,video://https://live.jstv.com/?channelId=543
金鹰卡通,video://https://live.mgtv.com/?channelId\u003d221
海南少儿,video://https://service-app.hnntv.cn/AppEngine/appinfo/STHaiNan/share.html?userId=1&appId=STHaiNan&userId=1&channelId=7
内蒙古少儿,http://play1-qk.nmtv.cn/live/1686560464515368.m3u8
北京卡酷少儿,http://qtest-play.btime.cn/live/btv_sn_20170706_s10.m3u8
广东少儿(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/54
嘉佳卡通(荔枝网),video://https://www.gdtv.cn/tvChannelDetail/66
江西少儿,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv6.m3u8
江西少儿,https://play-live-hls.jxtvcn.com.cn/live-city/tv_jxtv6.m3u8
海绵宝宝(斗鱼),video://http://www.douyu.com/7528160
海绵宝宝①(斗鱼),video://http://www.douyu.com/3949681
海绵宝宝②(虎牙),http://www.goodiptv.club/huya/11352919
海绵宝宝③(斗鱼),video://http://www.douyu.com/1569773
海绵宝宝④(斗鱼),video://http://www.douyu.com/12400977
火影忍者(虎牙),http://www.goodiptv.club/huya/29465866
火影忍者之博人传(虎牙),http://www.goodiptv.club/huya/11352974
火影忍者之疾风传(虎牙),http://www.goodiptv.club/huya/11342385
动漫大电影(虎牙),http://www.goodiptv.club/huya/11601958
经典动漫(虎牙),http://www.goodiptv.club/huya/23829543
成龙历险记(斗鱼),video://http://www.douyu.com/2287949
成龙历险记①(虎牙),http://www.goodiptv.club/huya/11352946
成龙历险纪②(斗鱼),video://http://www.douyu.com/12538016
小当家(斗鱼),video://http://www.douyu.com/997925
厨神小当家(虎牙),http://www.goodiptv.club/huya/24257300
中华小当家(斗鱼),video://http://www.douyu.com/8231658
头文字D(虎牙),http://www.goodiptv.club/huya/11352889
头文字D①(斗鱼),video://http://www.douyu.com/1174353
剧场版海贼王(虎牙),http://www.goodiptv.club/huya/29982634
全职猎人(斗鱼),video://http://www.douyu.com/6610883
英雄联盟(虎牙),http://www.goodiptv.club/huya/23903196
名侦探柯南(虎牙),http://www.goodiptv.club/huya/30080148
名侦探柯南剧场版(虎牙),http://www.goodiptv.club/huya/30080236
猫和老鼠(虎牙),http://www.goodiptv.club/huya/11352879
卡牌王(斗鱼),video://http://www.douyu.com/1487654
银面骑士(斗鱼),video://http://www.douyu.com/1218414
